,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
116,2457730,JOHNNY BRAVO AS Z,,,,,,5.0,JOVIAAL ES,1666700.0,UPTOWN GIRL,1957806.0,QUAMIRO,13726.0,2019,Zangersheide,056015Z55664919,,1617352.0,0,,False
117,2457664,J HALLUCINE BAMS,J’HALLUCINE BAMS,,,,,10.0,DOLLAR DU ROUET,1859286.0,REBECCA DE BREKKA,574270.0,QREDO DE PAULSTRA,3890.0,2019,Selle Francais,25000119343287M,,1617262.0,0,,False
118,2457656,MOLLY OF HEARTS,,,,,,2.0,DUKE OF HEARTS XX,516461.0,BAMBULE,1895686.0,CRAWFORD,124806.0,2019,Holsteiner Verband,276421000009819,,1617255.0,2,,False
119,2457622,CALLA CAMIRA,,,,,,12.0,CARRIDAM PJ,1491925.0,KORINNA,2069132.0,KAISERWIND,227843.0,2019,Hannoveraner Verband e.V,276431318504419,,1617220.0,2,,False
120,2457598,E,,,,HANN,,12.0,ERDINGER,1876239.0,DESTINY'S DIARINA,1545284.0,DESPERADOS FRH,117620.0,2019,Hannoveraner Verband e.V,276431310074019,,1617198.0,0,,False
121,2457589,DELAWARE,DELAWARE 22,,,RPSI,,12.0,DSP DE SANDRO,1574952.0,CHARLEEN,2457587.0,CHARMING,34468.0,2019,Hannoveraner Verband e.V,276431310863419,,1617189.0,0,,False
122,2457572,MIA,,,,,,2.0,CORNETINO,713622.0,BRASILIA I,1999929.0,CASALL,49609.0,2019,Holsteiner Verband,276421000077919,,1617171.0,2,,False
123,2457565,ONE FIFTY SIX,,,,,,24.0,UP TO DATE MILTOO,97030.0,HENRY JOTA ARTISTA II,1824029.0,CASSINIO,1542529.0,2019,KWPN North America,,,1617154.0,2,,False
124,2457559,ONE FIFTY SIX,,,,,,24.0,DANTE MG,1601223.0,HENRY JOTA ARTISTA II,1824029.0,CASSINIO,1542529.0,2019,KWPN North America,,,1617144.0,2,,False
125,2457547,SANDROS KALAMATA,,,,,,12.0,SANDRO JUNIOR,1947888.0,KORSIKA,709950.0,KOLIBRI,57640.0,2019,Hannoveraner Verband e.V,276431319606019,,1617124.0,2,,False
126,2457508,PABLO,,,,,VB,1.0,GASPAHR,1596210.0,E.NEFLORATA FL,487855.0,NUMERO UNO,2112.0,2019,KWPN (Royal Dutch Sporthorse),528003202010764,,1617067.0,1,,False
